Date,Fatalities,Aboard,Ground
17 Sep 1908,1,2,0
07 Sep 1909,1,1,0
12 Jul 1912,5,5,0
06 Aug 1913,1,1,0
09 Sep 1913,14,20,0
17 Oct 1913,28,28,0
05 Mar 1915,17,41,0
03 Sep 1915,19,19,0
28 Jul 1916,20,20,0
24 Sep 1916,22,22,0
01 Oct 1916,19,19,0
21 Nov 1916,27,28,0
28 Nov 1916,20,20,0
04 Mar 1917,20,20,0
30 Mar 1917,23,23,0
14 May 1917,21,21,0
14 Jun 1917,24,24,0
17 Jun 1917,14,16,0
21 Aug 1917,18,18,0
20 Oct 1917,18,18,0
07 Apr 1918,23,23,0
05 Aug 1918,22,22,0
11 Aug 1918,19,19,0
16 Dec 1918,1,1,0
25 May 1919,1,1,0
19 Jul 1919,1,1,0
21 Jul 1919,3,0,10
02 Aug 1919,14,14,0
02 Oct 1919,1,1,0
14 Oct 1919,1,1,0
20 Oct 1919,0,0,0
30 Oct 1919,1,1,0
11 Dec 1919,1,1,0
10 Mar 1920,1,1,0
30 Mar 1920,1,1,0
10 Apr 1920,1,2,0
11 Apr 1920,1,2,0
12 May 1920,1,2,0
06 Jun 1920,1,1,0
20 Jul 1920,1,1,0
16 Aug 1920,1,1,0
16 Aug 1920,1,1,0
01 Sep 1920,2,2,0
15 Sep 1920,2,2,0
27 Sep 1920,1,1,0
02 Oct 1920,2,2,0
05 Oct 1920,2,2,0
15 Oct 1920,1,1,0
07 Nov 1920,1,1,0
14 Dec 1920,4,8,0
24 Dec 1920,1,1,0
03 Feb 1921,1,1,0
09 Feb 1921,3,3,0
15 Feb 1921,2,2,0
22 Feb 1921,1,1,0
06 Apr 1921,2,2,0
21 Apr 1921,1,1,0
29 Apr 1921,1,1,0
17 May 1921,1,1,0
14 Aug 1921,2,2,0
24 Aug 1921,43,49,1
06 Sep 1921,5,5,0
05 Dec 1921,2,2,0
14 Jan 1922,5,5,5
21 Feb 1922,34,45,0
22 Mar 1922,5,6,0
07 Apr 1922,7,7,0
08 Apr 1922,17,17,0
03 Jun 1922,3,3,0
04 Jul 1922,2,3,0
16 Jul 1922,5,5,0
26 Jul 1922,3,3,0
07 Sep 1922,1,1,0
02 Oct 1922,4,4,0
25 Oct 1922,2,2,0
03 Dec 1922,1,1,0
10 Jan 1923,3,4,0
17 Jan 1923,1,1,0
18 Jan 1923,1,1,0
26 Feb 1923,1,1,0
14 May 1923,6,6,0
27 Aug 1923,1,11,0
27 Aug 1923,2,2,0
07 Sep 1923,1,1,0
14 Sep 1923,5,5,0
18 Nov 1923,3,5,0
06 Dec 1923,1,1,0
23 Dec 1923,52,52,0
24 Dec 1923,1,1,0
07 Mar 1924,1,1,0
24 Apr 1924,3,3,0
08 Jun 1924,5,5,0
01 Aug 1924,1,1,0
06 Nov 1924,1,1,0
21 Dec 1924,1,1,0
24 Dec 1924,8,8,0
22 Mar 1925,5,5,0
25 Apr 1925,3,3,0
25 Jun 1925,4,4,0
26 Jun 1925,2,2,0
20 Jul 1925,1,1,0
24 Jul 1925,1,1,0
03 Sep 1925,14,43,0
07 Sep 1925,0,0,0
01 Oct 1925,1,1,0
14 Nov 1925,1,1,0
14 Nov 1925,2,2,0
12 Feb 1926,1,1,0
08 Mar 1926,1,1,0
31 May 1926,1,1,0
03 Jul 1926,6,6,0
09 Jul 1926,2,2,0
24 Jul 1926,5,5,0
18 Aug 1926,3,15,0
26 Sep 1926,2,5,0
02 Oct 1926,7,7,0
08 Oct 1926,4,4,0
21 Oct 1926,0,12,0
11 Nov 1926,3,3,0
16 Dec 1926,1,1,0
12 Jan 1927,0,0,0
20 Mar 1927,1,1,0
24 Mar 1927,3,3,0
15 Apr 1927,1,1,0
22 Apr 1927,2,2,0
22 Apr 1927,1,1,0
02 May 1927,1,3,0
27 Jul 1927,5,5,0
22 Aug 1927,1,11,0
03 Sep 1927,1,1,0
17 Sep 1927,7,12,0
17 Sep 1927,3,3,0
23 Sep 1927,6,6,0
06 Oct 1927,2,2,0
30 Oct 1927,4,4,0
08 Nov 1927,1,1,0
16 Nov 1927,6,6,0
29 Nov 1927,1,1,0
28 Dec 1927,1,1,0
31 Dec 1927,5,5,0
08 Jan 1928,3,3,0
16 Jan 1928,2,2,0
22 Jan 1928,1,1,0
22 Jan 1928,2,2,0
27 Jan 1928,1,1,0
26 Feb 1928,1,2,0
11 Mar 1928,2,2,0
17 Apr 1928,1,2,0
19 Apr 1928,9,9,0
07 May 1928,1,5,0
12 May 1928,2,2,0
26 May 1928,3,5,0
14 Jun 1928,5,5,0
22 Jun 1928,1,1,0
10 Jul 1928,6,6,0
13 Jul 1928,4,6,0
24 Jul 1928,1,6,0
25 Aug 1928,7,7,0
02 Sep 1928,5,5,0
04 Sep 1928,1,2,0
04 Sep 1928,7,7,0
06 Sep 1928,3,3,0
04 Oct 1928,3,3,0
18 Oct 1928,1,1,0
31 Oct 1928,1,2,0
15 Nov 1928,1,3,0
24 Nov 1928,3,3,0
25 Nov 1928,1,1,0
25 Nov 1928,1,1,0
01 Dec 1928,5,5,0
03 Dec 1928,14,14,0
10 Dec 1928,5,5,0
11 Dec 1928,3,4,0
20 Dec 1928,1,1,0
23 Dec 1928,4,4,0
31 Dec 1928,2,3,0
05 Jan 1929,1,1,0
