Crashes,Year
88,1946
82,1947
78,1948
67,1949
71,1950
75,1951
65,1952
70,1953
61,1954
57,1955
53,1956
66,1957
69,1958
66,1959
70,1960
60,1961
79,1962
64,1963
59,1964
64,1965
60,1966
62,1967
67,1968
69,1969
73,1970
58,1971
77,1972
64,1973
58,1974
51,1975
57,1976
63,1977
51,1978
60,1979
45,1980
50,1981
54,1982
48,1983
48,1984
56,1985
51,1986
54,1987
64,1988
83,1989
61,1990
69,1991
67,1992
56,1993
74,1994
61,1995
68,1996
56,1997
59,1998
62,1999
63,2000
58,2001
55,2002
62,2003
46,2004
45,2005
38,2006
43,2007
51,2008
46,2009
40,2010
36,2011
26,2012
25,2013
23,2014
18,2015
23,2016
15,2017
19,2018
13,2019
8,2020
9,2021
6,2022
4,2023
3,2024
